Tänään on jalkapäivä.	Today is leg day.
Tämä laite on aina varattu.	This machine is always taken.
Tarvitsen pyyhkeen.	I need a towel.
Yritän tehdä negatiiviset toistot hitaasti.	I try to do the negative reps slowly.
Hyvä pito on tärkeää.	A good grip is important.
Käytätkö rannesiteitä?	Do you use wrist wraps?
Oletko kokeillut tätä uutta laitetta?	Have you tried this new machine?
Tuntuu, että voisin nostaa enemmän.	I feel like I could lift more.
Täytyy tankata energiaa treenin jälkeen.	I need to refuel after the workout.
Proteiinipirtelö auttaa palautumisessa.	A protein shake helps with recovery.
Tämä polttaa kunnolla reisissä.	This really burns in the thighs.
Kuinka kauan olet treenannut?	How long have you been working out?
Käyn salilla kolme kertaa viikossa.	I go to the gym three times a week.
Olen vasta-alkaja.	I'm a beginner.
Tämä liike vahvistaa olkapäitä.	This exercise strengthens the shoulders.
Pidetäänkö yhteinen treenipäivä?	Should we have a workout session together?
Jalkaprässi on hyvä vaihtoehto kyykylle.	The leg press is a good alternative to squats.
Tämä on hyvä loppuliike.	This is a good finishing move.
On tärkeää antaa lihasten levätä.	It's important to let the muscles rest.
Tunnen itseni energiseksi treenin jälkeen.	I feel energized after a workout.
Pudotussarja on tehokas tapa väsyttää lihas.	A drop set is an effective way to fatigue the muscle.
Teen pystypunnerrusta Smith-laitteessa.	I'm doing shoulder press in the Smith machine.
Älä lukitse polvia.	Don't lock your knees.
Täydellinen liikerata on tärkeämpi kuin paino.	A full range of motion is more important than the weight.
Tämä on hyvä yleisliike.	This is a good compound exercise.
Otan kreatiinia säännöllisesti.	I take creatine regularly.
Tänään on kevyt viikko.	Today is a light week.
Supersarjat säästävät aikaa.	Supersets save time.
Mistä löydän 10 kilon levypainot?	Where can I find the 10-kilo plates?
Laitatko painot takaisin paikoilleen?	Will you put the weights back in their place?
Tämä on minun suosikkiliikkeeni.	This is my favorite exercise.
Treenikaveri auttaa pysymään motivoituneena.	A workout buddy helps to stay motivated.
Yritän lisätä painoa joka treenissä.	I try to add weight in every workout.
Tämä on tehokkaampaa vapailla painoilla.	This is more effective with free weights.
Miten usein treenaat vatsalihaksia?	How often do you train your abs?
Pidän toiminnallisesta harjoittelusta.	I like functional training.
Tee liike hallitusti.	Do the movement in a controlled manner.
Voimaa on tänään!	I feel strong today!
Olen saanut paljon voimaa lisää.	I have gained a lot of strength.
Tämä laite kohdistuu rintalihaksiin.	This machine targets the chest muscles.
Onko sinulla ylimääräistä lukkia?	Do you have a spare collar?
Venyttely ehkäisee vammoja.	Stretching prevents injuries.
Lopetan tähän tältä päivältä.	I'm done for today.
Suihku tuntuu hyvältä treenin jälkeen.	A shower feels good after a workout.
Milloin uusit jäsenyytesi?	When are you renewing your membership?
Tämä sali on auki 24/7.	This gym is open 24/7.
Onko täällä personal trainereita?	Are there personal trainers here?
Voitko näyttää, miten tämä liike tehdään?	Can you show me how this exercise is done?
Tämä tuntuu enemmän pohkeissa.	This feels more in the calves.
Yritän rikkoa tasankovaiheen.	I'm trying to break through a plateau.
Kehonpainoharjoittelu on myös tehokasta.	Bodyweight training is also effective.
Leuanveto on haastava liike.	Pull-ups are a challenging exercise.
Teen dippejä penkin avulla.	I'm doing dips using a bench.
Hyvä ryhti on avainasemassa.	Good posture is key.
Nyt tuntuu, että on treenattu.	Now it feels like I've had a workout.
Huomenna on lepopäivä.	Tomorrow is a rest day.
Syö hyvin, nuku hyvin, treenaa kovaa.	Eat well, sleep well, train hard.
