Hyvää syntymäpäivää!	Happy birthday!
Mitä pelejä aiomme pelata?	What games are we going to play?
Kuka haluaa lisää kahvia?	Who wants more coffee?
Täällä on niin paljon tuttuja kasvoja.	There are so many familiar faces here.
Esittelen teidät toisillenne.	I'll introduce you to each other.
Asutko sinä täällä lähellä?	Do you live nearby?
Kiitos vielä kerran kaikesta.	Thanks again for everything.
Nähdään ensi viikolla!	See you next week!
Aivan mahtava soittolista.	A truly awesome playlist.
Saanko ottaa vielä yhden pullan?	May I take one more cinnamon bun?
Lapset näyttävät pitävän hauskaa.	The children seem to be having fun.
Onko sankari pitänyt puheen?	Has the birthday person given a speech?
Tämä paikka on kauniisti koristeltu.	This place is beautifully decorated.
Tarvitsetko apua siivoamisessa?	Do you need help with cleaning up?
Ei hätää, me hoidamme tiskit.	Don't worry, we'll handle the dishes.
Mikä oli paras saamasi lahja?	What was the best gift you received?
Juhlat jatkuvat aamuun asti!	The party continues until morning!
Olen niin iloinen puolestasi.	I am so happy for you.
Muistatko sen kerran, kun...?	Do you remember that time when...?
Kerrotaan vuorotellen jokin muisto sankariin liittyen.	Let's take turns telling a memory related to the birthday person.
Voin auttaa tarjoilussa.	I can help with the serving.
Onko teillä jotain alkoholitonta juomaa?	Do you have any non-alcoholic drinks?
Tämä on paras syntymäpäiväjuhla ikinä.	This is the best birthday party ever.
Olet upea isäntä/emäntä.	You are a wonderful host/hostess.
On hienoa nähdä koko suku koossa.	It's great to see the whole family together.
Paljonko kello on?	What time is it?
Minun on aika lähteä kotiin.	It's time for me to go home.
Tilaanko taksin?	Should I order a taxi?
Kiitos kyydistä.	Thanks for the ride.
Laitathan kuvia juhlista myöhemmin?	Will you post pictures from the party later?
Tämä päivä jää muistoihin.	This day will be remembered.
Lahjakortti on aina varma valinta.	A gift card is always a safe choice.
Toivottavasti vuotesi on täynnä iloa.	I hope your year is full of joy.
Otan pienen palan kakkua, vaikka olenkin dieetillä.	I'll have a small piece of cake, even though I'm on a diet.
Tämä on täydellinen sää juhlia ulkona.	This is perfect weather to celebrate outside.
Missä vessa on?	Where is the bathroom?
Onko sinulla särkylääkettä?	Do you have a painkiller?
Tämä keskustelu on mielenkiintoinen.	This conversation is interesting.
Olet todella hyvä tarinankertoja.	You are a really good storyteller.
Naurattaa niin, että vatsaan sattuu.	I'm laughing so hard my stomach hurts.
Onko ok, jos otan ystäväni mukaan?	Is it okay if I bring my friend along?
Myöhästyin vähän, pahoitteluni.	I'm a little late, my apologies.
Mitä sinä toivoit syntymäpäivälahjaksi?	What did you wish for as a birthday present?
Tämä on muisto tuleville vuosille.	This is a memory for the years to come.
Lopetetaan juhlat huipulla.	Let's end the party on a high note.
Kiitos, kun sain olla osa tätä päivää.	Thank you for letting me be a part of this day.
Olet minulle hyvin rakas ystävä.	You are a very dear friend to me.
Onnittelut vielä kerran!	Congratulations once more!
Voimmeko ottaa yhteiskuvan?	Can we take a group photo?
Hymyile kameralle!	Smile for the camera!
Tämä hetki on täydellinen.	This moment is perfect.
En unohda tätä iltaa.	I won't forget this evening.
Toivottavasti tapaamme pian uudelleen.	I hope we meet again soon.
Soitellaan huomenna.	Let's call each other tomorrow.
Älä unohda toivoa jotain, kun puhallat kynttilät.	Don't forget to make a wish when you blow out the candles.
Kaikki yhdessä: Paljon onnea vaan!	All together now: Happy birthday to you!
Hän on todellakin juhlimisen arvoinen.	He/She is definitely worth celebrating.
