Moi! Mitä kuuluu?	Hi! How are you?
Meille pääsee helposti bussilla numero 5.	You can get to our place easily with bus number 5.
Lähin pysäkki on aivan talon edessä.	The nearest stop is right in front of the building.
Jos tulet autolla, kadun varressa on parkkipaikkoja.	If you come by car, there are parking spots along the street.
Ovikoodi on 1234.	The door code is 1234.
Asumme kolmannessa kerroksessa.	We live on the third floor.
Soita ovikelloa, jossa lukee Virtanen.	Ring the doorbell that says Virtanen.
Tämä on vain epävirallinen kutsu.	This is just an informal invitation.
Älä stressaa lahjasta.	Don't stress about a gift.
Paras lahja on, kun tulet paikalle.	The best gift is you being there.
Mitä mieltä olet?	What do you think?
Kiinnostaisiko lähteä leffaan?	Would you be interested in going to the movies?
Mennäänkö keikalle?	Shall we go to a gig?
Ajattelin järjestää peli-illan.	I was thinking of organizing a game night.
Tule katsomaan uutta asuntoamme.	Come and see our new apartment.
Pidetään pienet tuparit.	Let's have a small housewarming party.
Meillä on vähän viiniä ja juustoja.	We have some wine and cheese.
Voit ottaa myös ystäväsi mukaan.	You can bring your friend along too.
Mitä enemmän, sen parempi.	The more, the merrier.
Tule sellaisena kuin olet.	Come as you are.
Aloitetaan juhlat skumpalla.	Let's start the party with some sparkling wine.
Tarkoituksena on viettää rento ilta yhdessä.	The idea is to spend a relaxed evening together.
Ei mitään virallista, kunhan hengaillaan.	Nothing official, just hanging out.
Olen kaivannut sinua!	I've missed you!
Siitä onkin aikaa, kun viimeksi nähtiin.	It's been a while since we last saw each other.
Päivitetään kuulumiset.	Let's catch up.
Laitoin kutsun myös Facebookissa.	I also sent an invitation on Facebook.
Voit vastata siellä.	You can reply there.
Jos et pääse, ei haittaa. Järjestetään jotain toiste.	If you can't make it, no worries. We'll organize something another time.
Yritä päästä tulemaan!	Try to make it!
Sinun seuraasi kaivataan.	Your company is wanted.
Juhlat eivät ole mitään ilman sinua.	The party is nothing without you.
Tulethan?	You'll come, right?
Odotan innolla!	I'm looking forward to it!
Nähdään pian!	See you soon!
Terveisin, [Oma Nimi]	Regards, [Your Name]
Rakkaudella, [Oma Nimi]	With love, [Your Name]
Halauksin, [Oma Nimi]	Hugs, [Your Name]
Muista ilmoittaa tulostasi.	Remember to confirm your attendance.
Vastaa tähän viestiin.	Reply to this message.
Laita viestiä, jos on kysyttävää.	Send a message if you have any questions.
Odotan vastaustasi.	I'm waiting for your reply.
Toivottavasti nähdään!	Hope to see you!
